"id","description","latitude","longitude"
895,"Severní strana - Kotvení za strom. 6 m spansetů (2 m okolo stromu a 4 m přes Áčko)
",50.028591,14.324845
896,Jižní strana - 13m spansetů - za výrazný strom vyvést okolo dvou menších stromů do strany a pak na hranu vedle keříku.,50.02827,14.32505
897,,50.029612,14.321769
907,"Strana na polici mezi dolama. Vyvázali jsme tři stromy (foto) a vyvedli těsně za hranu. Odsedky padaly, drželo to, i když nemají hluboké kořeny. Cca 18 m spansetů.
Spansetů je tam kotel, ale kotvení na týhle straně ještě musíme vychytat.",49.870578,14.536034
908,"Na polici u cesty Sílou vola, nalevo od Morávkovy stěny. Slanit za strom, 30 m lana vystačí až na zem. Případně se dá krkolomě slézt a vylézt roklinkou shora.
Navrtáno 3x 12 mm na polici, matky a podložky jsme tam nechali. 3m spanset vyjde hezky na hranu.",49.870663,14.536481
909,,49.863971,14.532831
910,Obhoz podstavce sochy,50.097226,14.437228
911,Obhoz zábradlí u lampy. ,50.097598,14.43769
912,,50.097292,14.435967
913,"Strom, 2m spanset",50.67519,15.457071
914,"Strom, 2m spanset",50.675181,15.457383
915,,50.677005,15.454656
919,"Nad vysokou stěnou za velký strom (foto), vytáhnout na hranu a podhodit pod kamenem na hraně, tím se dostaneš na úroveň protější strany, oddálíš od hrany. Potřeba dobře obandážovat a připravit předem, nedá se k tomu pak dostat. POZOR! Hrana je navětralá a padá z ní kamení dolů, kde se může lézt. Tak opatrně.",49.870381,14.536598
920,"Prostřední strana lomu, kotvení nad HL: Orlí hnízdo. Za dva stromy (foto), spansety 3+3 ke hraně, dobrý přístup.",49.870724,14.536153
921,,49.863905,14.532749
925,"2 spansety ",49.00977,14.76443
926,"2 spansety",49.009934,14.764201
927,,49.008724,14.763938
934,TAKRAF,49.216128,15.377888
935,strom plus dalsi dva o dvacet metru dál,49.216097,15.378243
936,,49.215002,15.377538
937,TAKRAF,49.21594,15.377785
938,Borovička plus další dvě o deset metru dál,49.215924,15.378427
939,,49.215102,15.37736
932,strom,49.946988,14.136469
933,,49.945478,14.1342
941,obhoz příčného pilíře.,49.296076,14.480657
942,,49.296362,14.478933
904,Protější zábradlí či obhoz celého mostu pokud nevěříš,49.827006,18.290797
905,Železniční most,49.827323,18.291023
906,,49.82705,18.291098
882,,50.490247,15.13417
887,Zelená: 6m spansetů (šlo by asi i 5m). Obhazujeme výrazný blok na levém rohu věže (z pohledu na Maják). Backup za uzel ve spáře a za dobírák na druhé straně věže.,50.55607,15.176332
888,,50.55337,15.186564
880,"4 spanset na borovici a vyvést přes druhý strom zde napínání",50.483803,15.135399
883,"Strana u kříže: na travnaté polici výrazný balvan 2m spanset na obhoz v levé části a 4m spanset protáhnout pod balvanem a máme krásný dvojitý kotvení, zde i napínání.",50.833952,15.259553
884,V levé  části masivu pohlehem k boudě podhodit zub za hranou a vytánout 8m spansetu na hranu,50.834102,15.25898
885,,50.84287,15.274214
946,Obhoz,50.616154,16.105937
947,Obhoz,50.615523,16.107098
948,,50.618704,16.107812
943,Kotvení na SV straně za významný dub (buk). Cca 5 m spansetů. Možnost bekapu za přilehlé stromy.,49.902725,14.09111
944,"Kotvení na JZ straně za borovici daleko za hranou. Cca 21 m spansetů a něco na vyvázání k menší borovičce.
Doporučuji nekotvit za velkou borovici hned na hraně. Celý sráz je velmi rozrušený.  ",49.901982,14.089415
945,,49.90474,14.090673
898,Strom + směrový nejt,49.950248,14.124369
899,"3 nejty",49.950231,14.125657
900,,49.941328,14.133341
916,Strom,50.617002,16.108241
917,Obhoz,50.617002,16.109378
918,,50.61871,16.10779
922,Strom,49.946581,14.136286
923,Strom,49.947254,14.136364
924,,49.945481,14.134237
928,"2 stromy",49.94651,14.136388
929,"1 strom + strom",49.9471,14.136018
930,,49.945471,14.13421
901,Obhoz betonového podstavce turbíny. Cca 8m,50.094906,14.433025
902,Obhoz velkého stromu za cestou 3m,50.095209,14.433888
903,,50.095609,14.438083
892,"Na JV straně vyvázat 3 nepříliš vzrostlé stromy a vyvést na hranu podél malého keříku. 3+2 m spansetů na vyvázání a 5 m na vyvedení až k hraně. Dále backupnout k ostatním keříkům pomocí statik. Hrana se bortí a do lomu pak padají kameny. Pozor především ať neshodíte kámen na turisty, kteří se v lomu se vyskytují.
Lze napnout i o cca 5 m delší variantu.",50.028143,14.324735
893,"Na SZ straně vede lajna do rohu lomu, který je o několik metrů níž. Je výhodné využít Áčko (cca 2,5 m vysoké) na zvednutí a stabilizování lajny dál od hrany. Kotvení za strom, který je schovaný až za křovím. 3 metry spansetů na obhození stromu a 5+4+2 na vyvedení k áčku. Opět lze backupnout ke keřům. Lajnu je zde možné uktovit i jinak ale žádná varianta asi není ideální, popřípadě se lze obejít i bez Áček.",50.028564,14.324125
894,,50.02969,14.322035
976,Napínání na skále. Vyvázat statikou 3 silnější borovice (cca 30m statiky). Hodí se karimatka nebo bandáže pro podložení na hraně a šutru.,50.042546,13.463447
977,Statnou břízu zavázat u kmene a vyvést nahoru přes břízu ve směru.,50.042495,13.463105
978,,50.04648,13.461368
982,Statnější strom u hrany.,49.445677,13.9025
983,"Obhodit kamen, nebo strom a vyvést přes stromek ve směru (cca 1m)",49.445472,13.9027
984,,49.444766,13.901872
1000,"Kotvit za vzdálenější strom ve směru, zvednout přes strom na kraji. Cca 8m spansetu. Backup ze jeden ze stromů.",50.545363,15.192571
1001,"Strom, 2m spanset. Backup za vzdálenější strom.",50.545278,15.192272
1002,,50.555174,15.19244
1006,"Borovice, cca 4m spansetu. Backup jeden ze stromů poblíž, cca 5m.",49.629452,15.411716
1007,"Za silnější borovici ve svahu. Cca 4m spansetu, protáhnout nebo vysměrovat přes břízu ve směru. Backup bříza nebo vedlejší borovice.",49.629618,15.411138
1008,,49.630251,15.411304
1012,Z parkoviště přes křoví na polici vedle jediné břízy (slézt cca 1m) - 3 nýty,28.187178,-16.51967
1013,"Obejít přes most a podél vodojemu, přes kaktus (neberte si kraťasy :D) slézt cca 2m na polici, nebo vylézt lehké 6b na polici - 3 nýty, jedna erární plaketa.",28.187243,-16.51937
1014,,28.187113,-16.5201
1015,"Strom u zábradlí, kotvit u prvního rozdvojení stromu. 2m + 4m na vylezení nahoru. ",50.066707,14.429316
1016,"Strom u patníku, 2m spanset ve výšce ramen, když se stojí na patníku.",50.066558,14.429432
1017,,50.066479,14.429408
950,strom,50.760725,15.051558
951,,50.760237,15.051558
961,strom,49.95552,14.189561
962,strom,49.95575,14.188879
963,,49.9572,14.186814
1019,"Za silný strom o patro níž a vyvést přes hranu ve směru. Na kraji zvednout přes A-frame. Cca 23m spansetu. Je potřeba zabandážovat na hraně a dát pozor, hrana se dost drolí. Backup za silnější křovíčko, cca 10m.",50.185471,14.085775
1020,,50.18749,14.087371
1024,"Strom 1m spanset, backup za strom hned vedle.",50.161694,14.10133
971,Jžní strana se kotví za všechny křoví co lze najít na druhé straně (my jsme kotvili za 3 stromky. Vyvést okolo stromu přímo na hraně. Lépe nekotvit přímo za něj je dost blízko rozpadající se hraně.,50.027128,14.325075
972,,50.027147,14.32428
967,"strom, 2,5m spanset",49.532017,17.750516
970,"Severní strana (ta na plotně): kotvení za strom, který je cca 20m od hrany, což je trochu voprc. Tzn obhození stromu a 22m spansetů vyvést na hranu. Pozor svah se sype a padá!",50.0278,14.324478
968,"strom, 2,5m spanset",49.532306,17.75095
969,,49.8439,15.47436
979,"Véčkem za dva stromy, přes chodník, ohnout přes zábradlí. cca 12m spansetu",50.063082,14.419625
980," Obhoz krajní věžičky, cca 6m spansetu",50.062579,14.420217
981,,50.060909,14.424381
952,strom,49.954677,14.176411
953,strom,49.954009,14.176756
954,,49.953976,14.179092
997,"3 x 10mm nýt",49.951048,14.122917
998,"3 x 10mm nýt",49.950257,14.124276
999,,49.937534,14.13362
