"id","name","description","state","region","sector","length","height","author","name_history","date_tense","date_insertion","time_approach","time_tensioning","rating","created_at","updated_at","published_at","created_by_id","updated_by_id"
713,Pípákovka,"<p>Roztomil&aacute; hajlajnička nad železničn&iacute; trat&iacute; v okol&iacute; Teplic nad Metuj&iacute;. v&iacute;ce fotek _ http:\/\/philipbitnar.zonerama.com\/Album\/528870<\/p>
",Česká Republika,Královehradecký,Teplice nad Metují,25,10,Filipski & Tomáš,"",2015-01-04,,,,0,,,,,
714,Pavučinka,"<p>Takov&aacute; pražsk&aacute;<\/p>
",ČR,praha,Praha - Dolní šárka,35,10,Lukáš Černý,"",2015-02-01,,,,1,,,,,
716,Milada,"<p>Lajnička lok&aacute;ln&iacute;ho v&yacute;znamu, se nach&aacute;z&iacute; nedaleko Havl&iacute;čkova Brodu, na zř&iacute;cenině hradu Ronovec. Vede přes b&yacute;val&yacute; hradn&iacute; př&iacute;kop.<\/p>
",Česká Republika,Vysočina,Havlíčkobrodsko,20,7,"","",2015-03-10,,,,0,,,,,
717,Velkej brácha,"<p>Lajna se nach&aacute;z&iacute; v zatopen&eacute;m lomu na Hol&eacute;m vrchu, v les&iacute;ch pobl&iacute;ž Lipnice. Kotven&iacute; za tenk&yacute; strom d&aacute;l za hranou na skaln&iacute; plo&scaron;ině na jedn&eacute; straně, a na straně druh&eacute; za stromy za v&yacute;raznou přečn&iacute;vaj&iacute;c&iacute; hranou. Napnuli a pře&scaron;li Uhl&iacute;ci 2013.<\/p>
",Česká Republika,Vysočina,Lipnice nad Sázavou,26,10,"","",2015-03-10,,,,0,,,,,
718,Zápalná šňůra,"<p>Jedn&aacute; se o krat&scaron;&iacute; variantu &quot;Velk&yacute;ho br&aacute;chy&quot;. Kotven&iacute; na jedn&eacute; straně totožn&eacute;, za stromy za v&yacute;raznou hranou, na druh&eacute; straně za velkou borovici, př&iacute;mo v rohu. Poprv&eacute; napnuli 2011 Uhl&iacute;ci, ale prvn&iacute; FM přechod až Hynek v březnu 2015.<\/p>
",Česká Republika,Vysočina,Lipnice nad Sázavou,22,10,"","",2015-08-13,,,,0,,,,,
775,Shining downstairs fish,"<p>V&iacute;c info v čl&aacute;nku:&nbsp;<a href=""http:\/\/g4gproject.blogspot.com\/2012\/08\/hned-mi-bylo-jasne-ze-nemuzeme-nikam.html"" target=""_blank"">http:\/\/g4gproject.blogspot.com\/2012\/08\/hned-mi-bylo-jasne-ze-nemuzeme-nikam.html<\/a><\/p>
",,,,24,28,"Faith Dickey, Jelena Schardi, Ančee (G4G team)","",2012-07-01,,,,2,,,,,
703,Hokus-Pokus,Spodní etáž v alkazáru.,Česká republika,Středočeský,Srbsko,62,20,Lukáš Černý,"",2014-03-19,,,,2,,2022-10-22 12:52:55.018,2022-10-22 12:52:55.011,,1
715,Less Acro More Highline,"37m spansetů, 60m statiky. Domečer 4 nejty a vyvést až na keř. Druhá strana strom a vyvést na hranu. Monžost kotvení i více do strany na 80m směr, také navrtanej, ale více složitej.
",Česká republika,Středočeský,Srbsko,73,40,Lukáš Černý,"",2015-03-02,,,,3,,2022-10-22 13:31:29.779,2022-10-22 13:31:29.771,,1
719,Země Plocha,"Hajlajna na začátku lomu když se jde od Karlštejnu (vlak. zastávka). Kotvena za borovici + menší stromek a vyvést na hranu. Druhá strana navrtaná za hranou 3 nýty a také vyvést na hranu. Náročnějí na materiál, asi 32m spansetů. Bez Reepky to nepůjde.",Česká Republika,Středočeský,Srbsko - Tomáškův lom,66,30,Lukáš Černý,"",2015-03-14,,,,1,,2022-10-22 13:35:16.975,2022-10-22 13:35:16.969,,1
700,Ruprechtická,"V poměru výška délka je to spíše tréninkovka. Kotvení na obou stranách za stromy, na jedné straně stačí 2m spanset a na druhé je kotvící strom dál od hrany, tudíž je potřeba cca. 8m spansetů a kláda na podložení je na místě.",Česká republika,Liberecký kraj,Liberec- Ruprechtice,57,12,Adam,,,,,,0,,2022-10-22 13:41:05.009,2022-10-22 13:41:05.002,,1
720,Pozor na jachty!,"<p>Podmostov&aacute; urban hajlajna na mostě Inteligence, kter&yacute; je pobl&iacute;ž Chuchle. Na obě strany je nutn&eacute; slanit ze z&aacute;bradl&iacute; cca 8m na pil&iacute;ř. Kde se obhazuje jedna &quot;noha&quot; (15m spansetů na každou stranu). Je vhodn&eacute; spansety oddd&aacute;lit od stěny oblouku mostu pomoc&iacute; spadan&yacute;ch železobetonv&yacute;ch bloků, kter&eacute; se tam v&aacute;lej&iacute;. Repka je nutnost&iacute;. Jak n&aacute;zev napov&iacute;d&aacute; je třeba si d&aacute;t POZOR na proj&iacute;žděj&iacute;c&iacute; lodě (předev&scaron;&iacute;m dokud nen&iacute; lajna napnut&aacute; a volně vis&iacute;)! Obzvl&aacute;&scaron;tě za hezk&eacute;ho počas&iacute;.<\/p>
",ČR,Praha,Praha - Malá Chuhle,51,10,Turban,"",2015-03-26,,,,1,,,,,
731,Klepátko,"pěkný kotvení s pěknym přístupem hezky posvějch až k HL. Na začátky super lajna.
Když máš koleje za zády a čumíš na lom je Klepátko po levej straně lomu, nad plotnou. Strana blíž k tobě je kotvění 1, dál od tebe kotva 2.",Česká Republika,Český les,,21,12,Jan Honzís Vít,pokaždý to chce někdo strunit,2016-06-28,,,,5,,2022-10-22 13:09:48.577,2022-10-22 13:09:48.569,,1
724,V rytmu struny,"<p>Industrialni HL v Trojhali Karol&iacute;na (Ostrava).&nbsp;<\/p>
",,,,25,12,Jan Zelený,Při přechodu hrála prapodivná hudba z nějaké ocelové struny,2015-09-23,,,,3,,,,,
776,"Uhneš klíči, uhneš míči","",Česká Republika,Český ráj,Hrubá skála,65,25,"","",,,,,2,,2022-10-22 13:36:07.997,2022-10-22 13:36:07.991,,1
729,Placák,"<p>Plac&aacute;k v Klokočsk&yacute;ch skal&aacute;ch. Po v&yacute;&scaron;lapu schodů doprava asi 150- 200m. obě dvě strany jsou masivy.<\/p>
",,,,35,26,"Adam, Kaštan",Poznáš sám až půjdeš kolem hrany :),2016-06-19,,,,2,,,,,
